Food Product,Moisture,Protein,Fat,Total Carbohydrates,Sugars,Dietary Fiber,Crude Fiber,Ash,FRAP_value
"Cowpea, var. Dan Borno, Brown, seeds, raw",9.1,20.11617,3.42693,53.37648,7.244935294117647,16.46349177688199,1.20897,3.29058,34.73
"Cowpea, var. IT93K-452-1, White, seeds, raw",7.83,20.839637,4.129216,52.195871,6.181670588235295,14.810205690207198,2.230514,3.760536,21.01
"Cowpea, var. IT95K-499s-35, White, seeds, raw",6.8,22.25616,4.1474,52.27588000000001,4.991623529411764,13.871918201717811,2.02244,4.15672,16.38
"Cowpea, var. IAR 48, Brown, seeds, raw",8.6,24.32154,3.64686,50.13290000000001,5.891105882352941,14.840377588235294,1.26132,3.50976,27.11
"Great Northern beans, raw",10.65,19.58,2.754415647058824,58.72137941176471,2.9,22.8,5.4143410588235295,3.93,30.16
"Kidney beans, raw",10.75,20.73,3.016922941,58.62665411764706,3.5,21.1,5.1959647058823535,3.55,31.54
"Common bean, Black, raw",7.36,21.52,3.1491062352941177,59.03766770588236,3.2,21.6,4.352660823529412,4.34,43.61
"Common bean, Yellow, raw",11.39,18.07,2.505346823529412,59.517405764705885,3.3,18.6,6.105939529411764,3.85,33.81
"Common bean, Red, small, raw",9.54,20.87,2.5843317647058823,59.42507917647058,2.7,22.6,4.562911647058823,3.9,40.09
"Common bean, Pinto, raw",10.86,18.75,2.9023233529411767,59.16070576470588,2.5,20.4,5.551008176470588,3.9,29.71
"Common bean, Navy, raw",12.01,20.1,2.9197660588235297,59.31805158823529,2.2,17.5,5.180282352941177,3.93,46.08
"Green gram, Malviya-12, seeds, raw",13.39,21,1.8714329411764703,53.97,7.690758176470588,18.42534478431373,6.45,3.99,36.92
"V. aconitifolia, seeds, raw",6.54,21.40234,3.299138,61.935942,6.858864705882353,18.29168857,4.177662,2.644918,28.76
"V. vexillata, seeds, raw",10.11,22.005072,1.420262,60.43304700000001,8.354208470588235,19.7671326,3.200084,2.831535,20.97
"Lentil, var. Blaze, Red, seeds, whole, raw",10.86,26.180418,0.374388,54.42160352941177,7.804654705882352,9.769744,4.636048,2.103704,22.39
"Lentil, var. Laird, Green, seeds, whole, raw",11.75,23.465675,0.661875,54.595251764705885,9.565031176470589,8.551425,3.9635464117647055,2.038575,28.25
"Cowpea, var. CS-46, Brown, seeds, raw",13.2,24.6,1.81,52.41652947058824,7.7,14.433275431372548,4.95,3.44,30.38
"Cowpea, var. CS-88, Brown, seeds, raw",10.95,20.07,1.96,58.33685141176471,6.47,17.454038705882354,4.27,3.59,26.27
