Food name in English;WATER(g);PROTCNT(g);FATCE(g);CHOAVLDF(g);SUGAR(g);FIBTG(g);FIBND(g);FIBAD(g);FIBC(g);ASH(g);CELLU(g);LIGN(g);HEMCEL(g)
Rice, IR 34, brown, raw;;;;;;;;;;;;;
Rice, IR 36, brown, raw;;;;;;;;;;;;;
Rice, IR 38, brown, raw;;;;;;;;;;;;;
Rice, IR 40, brown, raw;;;;;;;;;;;;;
Rice, IR 42, brown, raw;;;;;;;;;;;;;
Rice, IR 43, brown, raw;;;;;;;;;;;;;
Rice, IR 44, brown, raw;;;;;;;;;;;;;
Rice, IR 45, brown, raw;;;;;;;;;;;;;
Rice, IR 46, brown, raw;;;;;;;;;;;;;
Rice, IR 48, brown, raw;;;;;;;;;;;;;
Rice, IR 52, brown, raw;;;;;;;;;;;;;
Rice, IR 56, brown, raw;;;;;;;;;;;;;
Rice, IR 60, brown, raw;;;;;;;;;;;;;
Rice, IR 5, bran, raw;;;;;;;;;;;;;
Rice, IR 8, bran, raw;;;;;;;;;;;;;
Rice, IR 24, bran, raw;;;;;;;;;;;;;
Rice, IR 28, bran, raw;;;;;;;;;;;;;
Rice, IR 29, bran, raw;;;;;;;;;;;;;
Rice, IR 30, bran, raw;;;;;;;;;;;;;
Rice, IR 34, bran, raw;;;;;;;;;;;;;
Rice, IR 36, bran, raw;;;;;;;;;;;;;
Rice, IR 38, bran, raw;;;;;;;;;;;;;
Rice, IR 40, bran, raw;;;;;;;;;;;;;
Rice, IR 42, bran, raw;;;;;;;;;;;;;
Rice, IR 43, bran, raw;;;;;;;;;;;;;
Rice, IR 44, bran, raw;;;;;;;;;;;;;
Rice, IR 45, bran, raw;;;;;;;;;;;;;
Rice, IR 46, bran, raw;;;;;;;;;;;;;
Rice, IR 48, bran, raw;;;;;;;;;;;;;
Rice, IR 52, bran, raw;;;;;;;;;;;;;
Rice, IR 56, bran, raw;;;;;;;;;;;;;
Rice, IR 60, bran, raw;;;;;;;;;;;;;
Rice, IR 5, brown, raw;;;;;;;;;;;;;
Rice, IR 8, brown, raw;;;;;;;;;;;;;
Rice, IR 24, brown, raw;;;;;;;;;;;;;
Rice, IR 28, brown, raw;;;;;;;;;;;;;
Rice, IR 29, brown, raw;;;;;;;;;;;;;
Rice, IR 30, brown, raw;;;;;;;;;;;;;
Rice, IR 34, brown, raw;;;;;;;;;;;;;
Rice, IR 36, brown, raw;;;;;;;;;;;;;
Rice, IR 38, brown, raw;;;;;;;;;;;;;
Rice, IR 40, brown, raw;;;;;;;;;;;;;
Rice, IR 42, brown, raw;;;;;;;;;;;;;
Rice, IR 43, brown, raw;;;;;;;;;;;;;
Rice, IR 44, brown, raw;;;;;;;;;;;;;
Rice, IR 45, brown, raw;;;;;;;;;;;;;
Rice, IR 46, brown, raw;;;;;;;;;;;;;
Rice, IR 48, brown, raw;;;;;;;;;;;;;
Rice, IR 52, brown, raw;;;;;;;;;;;;;
Rice, IR 56, brown, raw;;;;;;;;;;;;;
Rice, IR 60, brown, raw;;;;;;;;;;;;;
Rice, IR 5, bran, raw;;;;;;;;;;;;;
Rice, IR 8, bran, raw;;;;;;;;;;;;;
Rice, IR 24, bran, raw;;;;;;;;;;;;;
Rice, IR 28, bran, raw;;;;;;;;;;;;;
Rice, IR 29, bran, raw;;;;;;;;;;;;;
Rice, IR 30, bran, raw;;;;;;;;;;;;;
Rice, IR 34, bran, raw;;;;;;;;;;;;;
Rice, IR 36, bran, raw;;;;;;;;;;;;;
Rice, IR 38, bran, raw;;;;;;;;;;;;;
Rice, IR 40, bran, raw;;;;;;;;;;;;;
Rice, IR 42, bran, raw;;;;;;;;;;;;;
Rice, IR 43, bran, raw;;;;;;;;;;;;;
Rice, IR 44, bran, raw;;;;;;;;;;;;;
Rice, IR 45, bran, raw;;;;;;;;;;;;;
Rice, IR 46, bran, raw;;;;;;;;;;;;;
Rice, IR 48, bran, raw;;;;;;;;;;;;;
Rice, IR 52, bran, raw;;;;;;;;;;;;;
Rice, IR 56, bran, raw;;;;;;;;;;;;;
Rice, IR 60, bran, raw;;;;;;;;;;;;;
Rice, Iksan483, genetically modified, brown, raw;8.44;7.38;2.41;79.62;;0.83;;;;1.33;;;
